id,base_pkg,adv_pkg,attack_type,response_count,likert_scores,considering_scores,confusability_cat
19,@ethersproject/wallet,@exchain-ethersproject/wallet,scope confusion,3,"[5, 1, 6]","[5, 1, 6]",Mildly Confusing
39,@material/notched-outline,@arterial/notched-outline,scope confusion,4,"[5, 1, 6]","[5, 1, 6]",Mildly Confusing
404,get-port,get-ports,grammatical substitution,4,"[5, 1, 6]","[5, 1, 6]",Mildly Confusing
162,browser-fingerprint,browser_fingerprint,delimiter modification,4,"[5, 1, 5]","[5, 1, 5]",Mildly Confusing
496,is-class,js-class,homographic replacement,3,"[5, 1, 5]","[5, 1, 5]",Mildly Confusing
199,colorful,colourful,alternate spelling,7,"[5, 1, 5, 6, 6, 6]","[5, 5, 6]",Highly Confusing
356,faker,fakerr,homophonic similarity,4,"[5, 1, 5, 5]","[5, 5, 5]",Highly Confusing
626,mathjax,mathjax-node,prefix/ suffix augmentation,4,"[5, 1, 5, 3]","[5, 3, 1]",Not Confusing
80,@types/has,@types/hbs,scope confusion,4,"[5, 1, 5, 2]","[5, 2, 1]",Not Confusing
463,htmlhint,html-hint,delimiter modification,4,"[5, 1, 5, 2]","[5, 5, 2]",Mildly Confusing
613,lscache,cache,simplification,3,"[5, 1, 4]","[5, 1, 4]",Mildly Confusing
797,rc-steps,rc-actions,asemantic substitution,3,"[5, 1, 3]","[5, 1, 3]",Not Confusing
1059,url-toolkit,js-toolkit,asemantic substitution,3,"[5, 1, 3]","[5, 1, 3]",Not Confusing
50,@phosphor/properties,phosphor-properties,scope confusion,4,"[5, 1, 2]","[5, 1, 2]",Not Confusing
661,mqtt,mykad,homophonic similarity,3,"[5, 1, 2]","[5, 1, 2]",Not Confusing
901,scroll,sqroll,homophonic similarity,3,"[5, 1, 2]","[5, 1, 2]",Not Confusing
919,sha.js,shpjs,delimiter modification,3,"[5, 1, 2]","[5, 1, 2]",Not Confusing
358,fast-safe-stringify,stringify,simplification,4,"[5, 1, 2, 3]","[3, 5, 5]",Mildly Confusing
739,photoswipe,swipe,simplification,4,"[5, 1, 1, 6]","[5, 1, 1]",Not Confusing
653,mockjs,mock.js,delimiter modification,3,"[4, 6, 6]","[4, 6, 6]",Confusing
180,chai-arrays,chai-array,grammatical substitution,4,"[4, 6, 6, 3]","[6, 6, 6]",Very Highly Confusing
108,ansicolor,ansicolour,alternate spelling,7,"[4, 6, 6, 1, 4, 3, 5]","[4, 6, 5]",Confusing
65,@turf/intersect,turf-intersect,scope confusion,3,"[4, 6, 5]","[4, 6, 5]",Confusing
240,css-to-xpath,csstoxpath,delimiter modification,4,"[4, 6, 5]","[4, 6, 5]",Confusing
473,ibm-watson,ibmwatson,delimiter modification,3,"[4, 6, 5]","[4, 6, 5]",Confusing
884,s3-stream-upload,s3-upload-streams,grammatical substitution,3,"[4, 6, 5]","[4, 6, 5]",Confusing
204,component-bind,bind-component,sequence reordering,3,"[4, 6, 4]","[4, 6, 4]",Confusing
658,mongodb,mangodb,homographic replacement,3,"[4, 6, 3]","[4, 6, 3]",Mildly Confusing
351,express-basic-auth,express-basicauth,delimiter modification,4,"[4, 6, 3, 4]","[4, 6, 3]",Mildly Confusing
296,dot-object,object-dot,sequence reordering,3,"[4, 6, 2]","[4, 6, 2]",Mildly Confusing
883,s3-deploy,ssdeploy,delimiter modification,3,"[4, 6, 2]","[4, 6, 2]",Mildly Confusing
