Malicious Package Name,Original Package Name,Ecosystem,Categories,Note/Comment,Detection Date,Campaign description,Maliciousness type,Source
arm-databoxedge,@azure/arm-databoxedge,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-databricks,@azure/arm-databricks,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-datacatalog,@azure/arm-datacatalog,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-datadog,@azure/arm-datadog,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-datafactory,@azure/arm-datafactory,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-datalake-analytics,@azure/arm-datalake-analytics,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-datamigration,@azure/arm-datamigration,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-deploymentmanager,@azure/arm-deploymentmanager,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-desktopvirtualization,@azure/arm-desktopvirtualization,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-deviceprovisioningservices,@azure/arm-deviceprovisioningservices,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-devspaces,@azure/arm-devspaces,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-devtestlabs,@azure/arm-devtestlabs,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-digitaltwins,@azure/arm-digitaltwins,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-dns,@azure/arm-dns,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
arm-dnsresolver,@azure/arm-dnsresolver,npm,"(11,)",,21/03/2022,Azure scope confusion,Stealing,https://jfrog.com/blog/large-scale-npm-attack-targets-azure-developers-with-malicious-packages/
