adv_pkg,base_pkg,category,typomind_cat
config3, config, Version Number,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
dropperjs, cropperjs, Common Typos,{'1-step D-L dist': 1}
treefy, treeify, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
webpack-replace-plugin, webpack-plugin-replace, Swapped Words,{'sequence reordering': 1}
bable, babel, Swapped Characters,{'1-step D-L dist': 1}
bable, hable, Common Typos,"{'1-step D-L dist': 1, 'homographic replacement': 1}"
polyglot-react, react-polyglot, Swapped Words,{'sequence reordering': 1}
arr, art, Common Typos,NA
wool, wol, Repeated Characters,NA
bulid, build, Swapped Characters,{'1-step D-L dist': 1}
ts-bundle, dts-bundle, Omitted Characters,{'1-step D-L dist': 1}
redux-simple-localstorage, redux-localstorage-simple, Swapped Words,{'sequence reordering': 1}
qrt, art, Common Typos,{'homographic replacement': 1}
kt, ky, Common Typos,NA
ng-async, png-async, Omitted Characters,{'1-step D-L dist': 1}
srv-cli, sirv-cli, Omitted Characters,{'1-step D-L dist': 1}
ip2, ip, Version Number,NA
amp-values, map-values, Swapped Characters,{'1-step D-L dist': 1}
qjuery, jquery, Swapped Characters,{'1-step D-L dist': 1}
guf, gud, Common Typos,NA
dek, del, Common Typos,NA
react-overlay, react-overlays, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
animated-scrollto, animated-scroll-to, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
redisurl, redis-url, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
stylin, stylint, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
redd, reds, Common Typos,{'1-step D-L dist': 1}
iso-639-2, iso-639-1, Common Typos,{'1-step D-L dist': 1}
winson, winston, Omitted Characters,{'1-step D-L dist': 1}
pkx, pmx, Common Typos,NA
sock, socks, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
mww, msw, Common Typos,NA
spawnx, spawnd, Common Typos,{'1-step D-L dist': 1}
lin1, linq, Common Typos,{'1-step D-L dist': 1}
woap, soap, Common Typos,{'1-step D-L dist': 1}
ucid, cuid, Swapped Characters,{'1-step D-L dist': 1}
weixin-sdk-js, weixin-js-sdk, Swapped Words,{'sequence reordering': 1}
impor, import, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
xuid, cuid, Common Typos,{'1-step D-L dist': 1}
cripto, crypto, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
typly, typpy, Common Typos,{'1-step D-L dist': 1}
caro, carlo, Omitted Characters,{'1-step D-L dist': 1}
mtree, nmtree, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
eml, elm, Swapped Characters,NA
rewyre, rewire, Common Typos,{'1-step D-L dist': 1}
creditcard, creditcards, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
vuex5, vuex, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
ts-utils, tsutils, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
ts-utils, tsutils, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
save-buffer, safe-buffer, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
lock-body-scroll, body-scroll-lock, Swapped Words,{'sequence reordering': 1}
cg, cb, Common Typos,NA
vue4, vue, Version Number,NA
testen, testem, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
nyx, nyc, Common Typos,NA
vuerify, vuetify, Common Typos,{'1-step D-L dist': 1}
vry, gry, Common Typos,NA
ng-logger, ngx-logger, Omitted Characters,{'1-step D-L dist': 1}
away, sway, Common Typos,{'1-step D-L dist': 1}
deta, detab, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
yes-no, yesno, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
yes-no, yesno, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
movx, mobx, Common Typos,{'1-step D-L dist': 1}
fts, gts, Common Typos,NA
router-react-native, react-router-native, Swapped Words,{'sequence reordering': 1}
parse-git-url, git-url-parse, Swapped Words,{'sequence reordering': 1}
auth-js, auth0-js, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
silc, solc, Common Typos,{'1-step D-L dist': 1}
more-highcharts, highcharts-more, Swapped Words,{'sequence reordering': 1}
jok, joi, Common Typos,NA
ssha, sha, Repeated Characters,{'prefix/ suffix augmentation': 1}
ssha, jssha, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
sfa, dfa, Common Typos,NA
hoppy, hoopy, Common Typos,{'1-step D-L dist': 1}
lit-ntml, lit-html, Common Typos,{'1-step D-L dist': 1}
uuid.v4, uuidv4, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
uuid.v4, uuidv4, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
deepfreeze, deep-freeze, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
munk, junk, Common Typos,{'1-step D-L dist': 1}
lec, lex, Common Typos,NA
tvr, tv4, Common Typos,NA
fql, gql, Common Typos,NA
ismail, isemail, Omitted Characters,{'1-step D-L dist': 1}
vue-qrcode, qrcode.vue, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
react-plotlyjs, react-plotly.js, Omitted Characters,{'delimiter modification': 1}
browsersync-webpack-plugin, browser-sync-webpack-plugin, Omitted Characters,{'delimiter modification': 1}
event_emitter, event-emitter, Swapped Words,{'delimiter modification': 1}
event_emitter, event-emitter, Common Typos,{'delimiter modification': 1}
rtag, etag, Common Typos,{'1-step D-L dist': 1}
st8, st, Version Number,NA
url-path, uri-path, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
libmpx, libnpx, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
vue-editor, vue2-editor, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
scroll-bar-width, scrollbar-width, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
has-generator, has-generators, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
llg, log, Common Typos,NA
0s, os, Common Typos,{'homographic replacement': 1}
plist-parser, bplist-parser, Omitted Characters,"{'simplification': 1, '1-step D-L dist': 1}"
normalize.scss, normalize-scss, Swapped Words,{'delimiter modification': 1}
normalize.scss, normalize-scss, Common Typos,{'delimiter modification': 1}
jdom, jsdom, Omitted Characters,{'1-step D-L dist': 1}
datatables.net-fixedheader-bs, datatables.net-fixedheader-bs4, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
ipt, ip6, Common Typos,NA
json-e, ejson, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
app, ap, Repeated Characters,NA
jq, qj, Swapped Characters,NA
markdown-it-katexx, markdown-it-katex, Repeated Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
joose, jose, Repeated Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
magi-cli, magicli, Swapped Words,{'1-step D-L dist': 1}
magi-cli, magicli, Common Typos,{'1-step D-L dist': 1}
karma-chai-sinon, karma-sinon-chai, Swapped Words,{'sequence reordering': 1}
ra, rw, Common Typos,NA
in-flux, influx, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
in-flux, influx, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
rselect, reselect, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
is-numeric, isnumeric, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
is-numeric, isnumeric, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
find-in-file, find-in-files, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
crypo, crypto, Omitted Characters,{'1-step D-L dist': 1}
dd-store, ds-store, Common Typos,{'1-step D-L dist': 1}
pwd, pad, Common Typos,NA
enso, esno, Swapped Characters,{'1-step D-L dist': 1}
xoo, xo, Repeated Characters,NA
multer2, multer, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
perry, perfy, Common Typos,{'1-step D-L dist': 1}
prima, prisma, Omitted Characters,{'1-step D-L dist': 1}
nome, noms, Common Typos,{'1-step D-L dist': 1}
styled-component, styled-components, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
haml-loader, yaml-loader, Common Typos,{'1-step D-L dist': 1}
is-bot, isbot, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
is-bot, isbot, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
currency-map-symbol, currency-symbol-map, Swapped Words,NA
clam, clamp, Omitted Characters,{'1-step D-L dist': 1}
dac, cac, Common Typos,NA
object.keys, object-keys, Swapped Words,{'delimiter modification': 1}
object.keys, object-keys, Common Typos,{'delimiter modification': 1}
ttyd, ttys, Common Typos,{'1-step D-L dist': 1}
socks5, socks, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
linezz, linez, Repeated Characters,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
wsrn, wsrun, Omitted Characters,{'1-step D-L dist': 1}
c1ds, cids, Common Typos,{'1-step D-L dist': 1}
nodemailer-transport-sendgrid, nodemailer-sendgrid-transport, Swapped Words,{'sequence reordering': 1}
vi, ci, Common Typos,NA
jira, jora, Common Typos,{'1-step D-L dist': 1}
jquerry, jquery, Repeated Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
dst, cst, Common Typos,NA
stylie, stylis, Common Typos,{'1-step D-L dist': 1}
ropo, topo, Common Typos,{'1-step D-L dist': 1}
aso, aos, Swapped Characters,NA
natura, natural, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
exjs, rxjs, Common Typos,{'1-step D-L dist': 1}
pups, pupa, Common Typos,{'1-step D-L dist': 1}
vault, fault, Common Typos,{'1-step D-L dist': 1}
html-style, html-styles, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
templated, templates, Common Typos,{'1-step D-L dist': 1}
restar, redstar, Omitted Characters,{'1-step D-L dist': 1}
react-spinner-loader, react-loader-spinner, Swapped Words,{'sequence reordering': 1}
svgjs, svg.js, Omitted Characters,{'delimiter modification': 1}
tsf, tsd, Common Typos,NA
promise-or-value, value-or-promise, Swapped Words,{'sequence reordering': 1}
karma-spec-reporter-2, karma-spec-reporter, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
robots, robotjs, Omitted Characters,{'1-step D-L dist': 1}
eslint-plugin-md, eslint-plugin-mdx, Omitted Characters,{'1-step D-L dist': 1}
domparser, dom-parser, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
is-tif, is-gif, Common Typos,{'1-step D-L dist': 1}
md5-ts, ts-md5, Swapped Words,{'sequence reordering': 1}
mailchimp-api-3, mailchimp-api-v3, Omitted Characters,{'1-step D-L dist': 1}
bunyan-pretty-stream, bunyan-prettystream, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
clj, cli, Common Typos,{'homographic replacement': 1}
angular-mock, angular-mocks, Omitted Characters,NA
roxie, rosie, Common Typos,{'1-step D-L dist': 1}
reducr, reduce, Common Typos,{'1-step D-L dist': 1}
omdb, lmdb, Common Typos,{'1-step D-L dist': 1}
sanitizr, sanitizer, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
layout1, layout, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
hn, yn, Common Typos,NA
lob, log, Common Typos,NA
lust.js, list.js, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
xz, zx, Swapped Characters,NA
rll, rlp, Common Typos,NA
jserror, iserror, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
fwd, cwd, Common Typos,NA
confetti-react, react-confetti, Swapped Words,NA
react-native-dot-env, react-native-dotenv, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
robot-js, robotjs, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
robot-js, robotjs, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
changelog-auto, auto-changelog, Swapped Words,{'sequence reordering': 1}
wz, ws, Common Typos,NA
ccolor, color, Repeated Characters,{'1-step D-L dist': 1}
ditor, editor, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
pf, pg, Common Typos,NA
prerender, pretender, Common Typos,{'1-step D-L dist': 1}
validator-class, class-validator, Swapped Words,{'sequence reordering': 1}
cron2, cron, Version Number,"{'prefix/ suffix augmentation': 1, 'homophonic similarity': True, '1-step D-L dist': 1}"
vtile, vfile, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
jsgi, jsbi, Common Typos,{'1-step D-L dist': 1}
informer, informed, Common Typos,{'1-step D-L dist': 1}
solit, split, Common Typos,{'1-step D-L dist': 1}
gulpfile, gulp-file, Omitted Characters,{'delimiter modification': 1}
luon, luxon, Omitted Characters,{'1-step D-L dist': 1}
reasync, deasync, Common Typos,{'1-step D-L dist': 1}
transformer, transformers, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
jsp, nsp, Common Typos,NA
vue-tel-input2, vue-tel-input, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
alertify.js, alertifyjs, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
alertify.js, alertifyjs, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
fx, rx, Common Typos,NA
dogstatsd-node, node-dogstatsd, Swapped Words,{'sequence reordering': 1}
jq.node, node-jq, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
json-minify, jsonminify, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
json-minify, jsonminify, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
fs-iterator, fsm-iterator, Omitted Characters,{'1-step D-L dist': 1}
date-fns-1, date-fns, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
serialize-form, form-serialize, Swapped Words,{'sequence reordering': 1}
htmltag, html-tag, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
data-form, form-data, Swapped Words,{'sequence reordering': 1}
sdt, std, Swapped Characters,NA
di0, di, Version Number,NA
shells, shelljs, Omitted Characters,{'1-step D-L dist': 1}
dotie, dottie, Omitted Characters,{'1-step D-L dist': 1}
ngx-swiper-wrapped, ngx-swiper-wrapper, Common Typos,{'1-step D-L dist': 1}
0d, 0x, Common Typos,NA
jsss, jss, Repeated Characters,"{'grammatical substitution': True, 'prefix/ suffix augmentation': 1}"
i18n-vue, vue-i18n, Swapped Words,{'sequence reordering': 1}
map-google-react, google-map-react, Swapped Words,{'sequence reordering': 1}
html-to-ansi, ansi-to-html, Swapped Words,{'sequence reordering': 1}
mmoize, moize, Repeated Characters,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
samlify-2, samlify, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
sourcemap, source-map, Omitted Characters,{'delimiter modification': 1}
timestamp, time-stamp, Omitted Characters,{'delimiter modification': 1}
linereader, line-reader, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
react-eslint-config, eslint-config-react, Swapped Words,{'sequence reordering': 1}
postcss-selector-prefix, postcss-prefix-selector, Swapped Words,{'sequence reordering': 1}
union-fs, unionfs, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
union-fs, unionfs, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
proxyquire-2, proxyquire, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
nanp, nano, Common Typos,{'1-step D-L dist': 1}
reap, deap, Common Typos,NA
redux-react, react-redux, Swapped Words,{'sequence reordering': 1}
promise-from-stream, stream-from-promise, Swapped Words,{'sequence reordering': 1}
mq-sass, sass-mq, Swapped Words,{'sequence reordering': 1}
mongo-migrate, migrate-mongo, Swapped Words,{'sequence reordering': 1}
react-g, react-ga, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
md4, md5, Common Typos,NA
m3u-parser, m3u8-parser, Omitted Characters,{'1-step D-L dist': 1}
pkgfiles, ypkgfiles, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
stein, stdin, Common Typos,{'1-step D-L dist': 1}
simon, sinon, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
list-countries, countries-list, Swapped Words,{'sequence reordering': 1}
passport-auth, passport-oauth, Omitted Characters,{'1-step D-L dist': 1}
jason, jayson, Omitted Characters,{'1-step D-L dist': 1}
typd, type, Common Typos,{'1-step D-L dist': 1}
react-ks, react-is, Common Typos,{'1-step D-L dist': 1}
instagram-scraper, scraper-instagram, Swapped Words,{'sequence reordering': 1}
shallow-extend, extend-shallow, Swapped Words,{'sequence reordering': 1}
clapp, clap, Repeated Characters,"{'prefix/ suffix augmentation': 1, 'homophonic similarity': True, '1-step D-L dist': 1}"
react-skeleton-loading, react-loading-skeleton, Swapped Words,{'sequence reordering': 1}
hexid, hexoid, Omitted Characters,{'1-step D-L dist': 1}
diff-text, text-diff, Swapped Words,{'sequence reordering': 1}
eml-format, elm-format, Swapped Characters,{'1-step D-L dist': 1}
scroll-sync-react, react-scroll-sync, Swapped Words,{'sequence reordering': 1}
react-pinch-zoom-pan, react-zoom-pan-pinch, Swapped Words,{'sequence reordering': 1}
filesaver, file-saver, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
datatables.net-fixedcolumns-bs, datatables.net-fixedcolumns-bs4, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
a, q, Common Typos,NA
ced, cwd, Common Typos,NA
pubsub.js, pubsub-js, Swapped Words,{'delimiter modification': 1}
pubsub.js, pubsub-js, Common Typos,{'delimiter modification': 1}
css-inline, inline-css, Swapped Words,{'sequence reordering': 1}
currency-format, format-currency, Swapped Words,{'sequence reordering': 1}
qq, q, Repeated Characters,NA
qq, qw, Common Typos,NA
brew, bree, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
bootstrap-vue-3, bootstrap-vue, Version Number,{'1-step D-L dist': 2}
doca, docz, Common Typos,{'1-step D-L dist': 1}
prettydata, pretty-data, Omitted Characters,{'delimiter modification': 1}
ddm, dmd, Swapped Characters,NA
ddm, xdm, Common Typos,NA
xec, sec, Common Typos,NA
cssp, csso, Common Typos,NA
fant, vant, Common Typos,{'1-step D-L dist': 1}
clipboar, clipboard, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
noop3, noop2, Common Typos,NA
dot-ws, dot-qs, Common Typos,{'1-step D-L dist': 1}
apolloclient, apollo-client, Omitted Characters,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
ngest, ingest, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
cal.js, ical.js, Omitted Characters,{'1-step D-L dist': 1}
fuzzi, fuzzy, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
marshall, marshal, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
eco-cli, echo-cli, Omitted Characters,{'1-step D-L dist': 1}
tinymde, tinymce, Common Typos,{'1-step D-L dist': 1}
person, persona, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
int64be, uint64be, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
s3ify, es3ify, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
pauth, oauth, Common Typos,NA
1nstall, install, Common Typos,{'1-step D-L dist': 1}
muxjs, mux.js, Omitted Characters,{'delimiter modification': 1}
port, ports, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
stylesheet-inject, inject-stylesheet, Swapped Words,{'sequence reordering': 1}
cript, crypt, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
handle-cli-error, cli-handle-error, Swapped Words,NA
helprs, helprjs, Omitted Characters,{'1-step D-L dist': 1}
dsutils, esutils, Common Typos,{'1-step D-L dist': 1}
s-creditcard, creditcards, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
xgraph, mxgraph, Omitted Characters,"{'1-step D-L dist': 1, 'simplification': 1}"
ide, ids, Common Typos,NA
g9, g, Version Number,NA
fb2, fb, Version Number,NA
gitwin, git-win, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
css-purge, purgecss, Swapped Words,"{'delimiter modification': 1, 'sequence reordering': 1, '1-step D-L dist': 1}"
httplease, httpplease, Omitted Characters,{'1-step D-L dist': 1}
yoru, ylru, Common Typos,{'1-step D-L dist': 1}
tween-function, tween-functions, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
frax, frac, Common Typos,NA
anchor9, anchor, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
v8, c8, Common Typos,NA
next-route, next-routes, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
ssn-validator, sns-validator, Swapped Characters,{'1-step D-L dist': 1}
uenv, unenv, Omitted Characters,{'1-step D-L dist': 1}
lfu-cache, lru-cache, Common Typos,{'1-step D-L dist': 1}
koala, koalas, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
frequire, crequire, Common Typos,{'1-step D-L dist': 1}
dwebp-bin, cwebp-bin, Common Typos,{'1-step D-L dist': 1}
face, farce, Omitted Characters,{'1-step D-L dist': 1}
jsin, jsmin, Omitted Characters,{'1-step D-L dist': 1}
jsin, json, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
enroute, en-route, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
slick-react, react-slick, Swapped Words,{'sequence reordering': 1}
mimimize, minimize, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
mysql-promise, promise-mysql, Swapped Words,{'sequence reordering': 1}
queue.js, js-queue, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
pub, pug, Common Typos,NA
bipp, blipp, Omitted Characters,{'1-step D-L dist': 1}
omit-deep-2, omit-deep, Version Number,"{'1-step D-L dist': 2, 'prefix/ suffix augmentation': 1}"
ng-print, ngx-print, Omitted Characters,{'1-step D-L dist': 1}
mtpl, tmpl, Swapped Characters,{'1-step D-L dist': 1}
md.js, md5.js, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
coffescript, coffeescript, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
fluxx, flux, Repeated Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
ucm, uvm, Common Typos,NA
escape-regex, escape-regexp, Omitted Characters,{'1-step D-L dist': 1}
escape-regex, regex-escape, Swapped Words,{'sequence reordering': 1}
eem, esm, Common Typos,NA
getopt, getopts, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
relm, realm, Omitted Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
sonata, jsonata, Omitted Characters,{'1-step D-L dist': 1}
yawk, hawk, Common Typos,{'1-step D-L dist': 1}
zxcvbn3, zxcvbn, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
str, std, Common Typos,NA
versions-compare, compare-versions, Swapped Words,{'sequence reordering': 1}
tofactory, to-factory, Omitted Characters,{'delimiter modification': 1}
js-dom, jsdom, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
js-dom, jsdom, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
tempfile2, tempfile, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
nick, nock, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
dw, wd, Swapped Characters,NA
dw, rw, Common Typos,NA
dev-tools, devtools, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
dev-tools, devtools, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
wix, wkx, Common Typos,NA
camel_case, camelcase, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
camel_case, camelcase, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
express-router-async, express-async-router, Swapped Words,{'sequence reordering': 1}
wwd, wd, Repeated Characters,NA
p, -, Common Typos,NA
c9, co, Common Typos,NA
apd, pad, Swapped Characters,NA
tokenize, tokenizr, Common Typos,{'1-step D-L dist': 1}
jsonlint2, jsonlint, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
item, items, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
react-context-menu, react-contextmenu, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
parser-regex, regex-parser, Swapped Words,{'sequence reordering': 1}
wq, qw, Swapped Characters,NA
camelize2, camelize, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
babel-preset-es2018, babel-preset-es2017, Common Typos,{'1-step D-L dist': 1}
vite-plugin-svg, vite-plugin-svgr, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
io, ip, Common Typos,NA
react-jsx, react-jss, Common Typos,{'1-step D-L dist': 1}
fluid, fluids, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
globalcache, global-cache, Omitted Characters,{'delimiter modification': 1}
htmlloader, html-loader, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
expi, expo, Common Typos,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
feed-parser, feedparser, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
feed-parser, feedparser, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
service-worker-register, register-service-worker, Swapped Words,{'sequence reordering': 1}
removd, remove, Common Typos,{'1-step D-L dist': 1}
remic, remix, Common Typos,{'1-step D-L dist': 1}
diddi, didi, Repeated Characters,{'1-step D-L dist': 1}
swipeable-react, react-swipeable, Swapped Words,{'sequence reordering': 1}
react-ions, react-icons, Omitted Characters,{'1-step D-L dist': 1}
fasq, fastq, Omitted Characters,{'1-step D-L dist': 1}
remove-array-item, remove-array-items, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
panzoom2, panzoom, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
ies, ids, Common Typos,NA
promt, prompt, Omitted Characters,{'1-step D-L dist': 1}
brim, grim, Common Typos,{'1-step D-L dist': 1}
asset-webpack-plugin, assets-webpack-plugin, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
combis, combos, Common Typos,{'1-step D-L dist': 1}
cwdav, dwdav, Common Typos,{'1-step D-L dist': 1}
nack, back, Common Typos,{'1-step D-L dist': 1}
false, falsey, Omitted Characters,{'1-step D-L dist': 1}
class-js, class-is, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
range-parser2, range-parser, Version Number,NA
git.js, js-git, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
react-sticky-node, react-stickynode, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
5lack, slack, Common Typos,{'1-step D-L dist': 1}
cpt, cpy, Common Typos,NA
sifer, sifter, Omitted Characters,{'1-step D-L dist': 1}
extra-prop-types, prop-types-extra, Swapped Words,{'sequence reordering': 1}
hake, jake, Common Typos,{'1-step D-L dist': 1}
ys, is, Common Typos,NA
ml-ts, tsml, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1, '1-step D-L dist': 1}"
better-avj-errors, better-ajv-errors, Swapped Characters,{'1-step D-L dist': 1}
jtree, jstree, Omitted Characters,{'1-step D-L dist': 1}
