adv_pkg,base_pkg,category,typomind_cat
ssh-tunnel, tunnel-ssh, Swapped Words,{'sequence reordering': 1}
j, i, Common Typos,{'homographic replacement': 1}
vue-select-3, vue-select, Version Number,{'1-step D-L dist': 2}
lru-memoize, lru-memoizer, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
sjs, jss, Swapped Characters,NA
glob-resolve, resolve-glob, Swapped Words,{'sequence reordering': 1}
class-names, classnames, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
class-names, classnames, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
base26, base62, Swapped Characters,{'1-step D-L dist': 1}
base26, base16, Common Typos,{'1-step D-L dist': 1}
react-router5, react-router, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
emmett, emmet, Repeated Characters,"{'1-step D-L dist': 1, 'homophonic similarity': True}"
exec-sync, exec-async, Omitted Characters,{'1-step D-L dist': 1}
exec-sync, sync-exec, Swapped Words,{'sequence reordering': 1}
react-lifecycle-compat, react-lifecycles-compat, Omitted Characters,{'1-step D-L dist': 1}
normalize-uri, normalize-url, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
ansi-escape, ansi-escapes, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
flowgen2, flowgen, Version Number,"{'prefix/ suffix augmentation': 1, '1-step D-L dist': 1}"
crypt-js, crypto-js, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
start-with, starts-with, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
sync-each, async-each, Omitted Characters,NA
io_format, formatio, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1, 'sequence reordering': 1}"
mode, node, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
passport-oauth2-cognito, cognito-passport-oauth2, Swapped Words,{'sequence reordering': 1}
oop, lop, Common Typos,NA
markdown-escape, markdown-escapes, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
under_score, underscore, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
under_score, underscore, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
utf-8, utf8, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
utf-8, utf8, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
formatik, formatio, Common Typos,NA
async-waterfall, a-sync-waterfall, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
safe, sade, Common Typos,{'1-step D-L dist': 1}
stringformat, string-format, Omitted Characters,{'delimiter modification': 1}
beautify-css, cssbeautify, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1, '1-step D-L dist': 1}"
cs, fs, Common Typos,NA
mejs, memjs, Omitted Characters,{'1-step D-L dist': 1}
rbee, bree, Swapped Characters,{'1-step D-L dist': 1}
i-s, is, Swapped Words,{'delimiter modification': 1}
i-s, is, Common Typos,{'delimiter modification': 1}
vex, gex, Common Typos,NA
seed, steed, Omitted Characters,{'1-step D-L dist': 1}
oath, oauth, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
oath, path, Common Typos,{'1-step D-L dist': 1}
sol, wol, Common Typos,NA
cart.js, chart.js, Omitted Characters,{'1-step D-L dist': 1}
weakmap, weak-map, Omitted Characters,{'delimiter modification': 1}
find-package, find-packages, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
git-user-name, git-username, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
on-change, onchange, Swapped Words,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
on-change, onchange, Common Typos,"{'1-step D-L dist': 1, 'delimiter modification': 1}"
damon, daemon, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
suncalc2, suncalc, Version Number,"{'1-step D-L dist': 1, 'prefix/ suffix augmentation': 1}"
react-yframe, react-iframe, Common Typos,{'1-step D-L dist': 1}
tn, yn, Common Typos,NA
parse-data-url, parse-data-uri, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
electron-package, electron-packager, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
topo-sort, toposort, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
topo-sort, toposort, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
objectpath, object-path, Omitted Characters,"{'delimiter modification': 1, '1-step D-L dist': 1}"
react-qrcode, react-qr-code, Omitted Characters,{'delimiter modification': 1}
react-qrcode, qrcode.react, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1}"
js-md4, js-md5, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
burne, bourne, Omitted Characters,{'1-step D-L dist': 1}
blon, blob, Common Typos,{'1-step D-L dist': 1}
nafe, nave, Common Typos,"{'homophonic similarity': True, '1-step D-L dist': 1}"
bunyan-format2, bunyan-format, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
xlogger, zlogger, Common Typos,{'1-step D-L dist': 1}
colr, color, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
colr-convert, color-convert, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
monet, money, Common Typos,{'1-step D-L dist': 1}
es-object-assign, es6-object-assign, Omitted Characters,NA
referential, deferential, Common Typos,{'1-step D-L dist': 1}
monent, moment, Common Typos,"{'homographic replacement': 1, '1-step D-L dist': 1}"
fetch-sync, sync-fetch, Swapped Words,{'sequence reordering': 1}
restify-client, restify-clients, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
koa-jwt2, koa-jwt, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
rollup-plugin-ts, rollup-plugin-dts, Omitted Characters,{'1-step D-L dist': 1}
jqeury, jquery, Swapped Characters,{'1-step D-L dist': 1}
jaw, jwa, Swapped Characters,NA
url4, url, Version Number,{'prefix/ suffix augmentation': 1}
typeof--, typeof, Swapped Words,{'delimiter modification': 1}
migrat, migrate, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1, 'simplification': 1}"
base-62, base62, Swapped Words,"{'delimiter modification': 1, '1-step D-L dist': 1}"
base-62, base62, Common Typos,"{'delimiter modification': 1, '1-step D-L dist': 1}"
path-js, paths-js, Omitted Characters,"{'grammatical substitution': True, '1-step D-L dist': 1}"
path-js, jspath, Swapped Words,"{'sequence reordering': 1, 'delimiter modification': 1, '1-step D-L dist': 1}"
nasi, ansi, Swapped Characters,{'1-step D-L dist': 1}
pretty-data2, pretty-data, Version Number,"{'homophonic similarity': True, '1-step D-L dist': 1}"
file-save, file-saver, Omitted Characters,"{'1-step D-L dist': 1, 'grammatical substitution': True}"
yeti, yaeti, Omitted Characters,{'1-step D-L dist': 1}
rush, rbush, Omitted Characters,{'1-step D-L dist': 1}
vue-dropzone, vue2-dropzone, Omitted Characters,"{'homophonic similarity': True, '1-step D-L dist': 1}"
array.from, array-from, Swapped Words,{'delimiter modification': 1}
